drugbank_id	smiles	DRUG_GROUPS	applicability_domain	bitter_prob	sweet_prob
DB02426	CC(C)CC(=O)O[C@H]1[C@@H](O[C@@H]2C[C@]3(C)[C@H]4CC[C@@H]5C[C@@]4(CC[C@H]3C(C2)(C(O)=O)C(O)=O)[C@@H](O)C5=C)O[C@@H](COO)[C@H](OS(O)(=O)=O)[C@@H]1OS(O)(=O)=O	experimental	True	0.6366666666666667	0.9883774342465893
DB02427	COC1=CC(CN(C)C2=CC=C3N=C(N)N=C(N)C3=C2)=C(OC)C=C1	experimental	True	0.7804166666666666	0.0006865201892018378
DB02428	OC(=O)C1=NC2=C(C=CC=C2)C=C1	experimental	True	0.704628981138642	0.014691974886137018
DB02429	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=C(F)C=C1	experimental	True	0.5888467261904762	0.06004355507261456
DB02430	OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	experimental	True	0.5044903160040775	0.9801383399682637
DB02431	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	experimental	True	0.6333333333333333	4.3711090043774165e-09
DB02432	[H][C@@](CC1=CC(C(=O)OC)=C(C=C1)C(F)(C(O)=O)C(O)=O)(N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O	experimental	True	0.78	7.559505211266916e-05
DB02433	[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CN(CC(O)O)CP(O)(O)=O	experimental	True	0.49858886483886483	0.001319296751917957
DB02434	OC(=O)CCCC1=CC=CS1	experimental	True	0.28944695955574107	0.9978745741058395
DB02435	[NH3+]CC1CCCCC1	experimental	True	0.5812960413357939	0.31451064507627746
DB02436	[H][C@@](CC1=CC=CC=C1)(NC(O)=N[C@@]([H])(CC1=CC=C(OC(C(O)=O)C(O)=O)C=C1)C(O)=NCCCCC)C(O)=O	experimental	True	0.7633333333333333	0.4225083679795991
DB02437	N[C@H](CO)CCCCNC(O)=O	experimental	True	0.27787802593947036	0.23079458381762735
DB02438	[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(OC)C(=O)CO	experimental	True	0.09810438453798623	0.966441546209774
DB02441	CCCCC1=NC2=C(N1)C(=O)NNC2=O	experimental	True	0.6326749557724521	0.008315663759643186
DB02443	[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])C1=C(OC)C=CC=C1OC)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O	experimental	True	0.7061111111111111	0.19547801115357263
DB02445	[H][C@](N)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O	experimental	True	0.2882564494513038	0.9499471827483823
DB02446	N[C@@H](CCC(=O)NO)C(O)=O	experimental	True	0.19155497245804026	0.8374125470060595
DB02447	[H][C@]1(CO)O[C@@]2(N=C(O)N(O)C2=O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.4640014310797022	0.6774090292797879
DB02448	CCCCCCCCCCCCC(O)=O	experimental	True	0.3223304541742864	0.6351509662880311
DB02449	[H][C@@](CC1=CNC2=CC=CC=C12)(NS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1)C(O)=O	experimental	True	0.7866666666666666	7.97127070969567e-05
DB02450	[H][C@@](CC1=CC=CC=C1)(C(O)=O)[C@]([H])(CC1=CC2=C(OCO2)C=C1)C(O)=O	experimental	True	0.4489821069837969	0.13471774934411515
DB02452	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O	experimental	True	0.6991666666666667	4.555605047967273e-10
DB02454	[H][C@@]1(CO[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]1([H])O)OP(O)(O)=O	experimental	True	0.4625	0.25795822304476673
DB02455	CCN=C(S)NC1=CC(C(O)=O)=C(C=C1)C1=C2C=CC(=O)C=C2OC2=C1C=CC(O)=C2	experimental	True	0.7683333333333333	0.0004488082318667545
DB02456	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=CC(=N)N=C2O)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.5495660043149235	0.0007698528371527837
DB02457	[H][P@@](=O)(CCCCCCCCCCC)OCCCC	experimental	True	0.4701043619110303	0.0026073887009577866
DB02458	[H][C@](N)(CCC(=O)N[C@@]([H])(CSC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(=O)NCC(O)=O)C(O)=O	experimental	True	0.5994444444444443	0.008808801760711893
DB02459	NC(=N)NC1=CC=C(C=C1)C(O)=O	experimental	True	0.27375363703929007	0.04615540915487531
DB02460	[H][C@]12N=C(\C(C)=C3/N=C(/C=C4\N=C(\C(\C)=C5/N[C@]1(C)[C@@](C)(CC(O)=O)[C@@H]5CCC(O)=O)[C@@](C)(CC(O)=O)[C@@H]4CCC(O)=O)C(C)(C)[C@@H]3CCC(O)=O)[C@](C)(CCC(O)=O)[C@H]2CC(O)=O	experimental	True	0.49666666666666665	0.32485338353723375
DB02461	N[C@@H](CSCP(O)(O)=O)C(O)=O	experimental	True	0.27267870148878787	0.8927738027694951
