flavordb_id	smiles	applicability_domain	bitter_prob	sweet_prob
86269902	CC1C(OC(C(C1O)O)OC2C(C(C(OC2OC(=O)C3(CCCC4(C3CCC56C4CCC(C5)(C(=C)C6)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C)CO)O)OC1C(C(C(C(O1)CO)O)O)O)CO	True	0.22666666666666666	0.4963489559812209
57417201	C1C(C(COC1(CO)O)O)O	True	0.07079235085868239	0.9467038291138513
44298337	CC(C(COP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O)N)O	True	0.6733333333333333	0.0010650316494939113
7016101	C1=CC=C(C=C1)CC(C(=O)[O-])NC(=O)C(CCCC[NH3+])[NH3+]	True	0.4832683362428862	0.6023063593183028
22887152	CC(C(C(C(CO)O)O)O)O	True	0.049058451202017676	0.71314250751352
22911124	CCOC(=O)C1C(N1C)C(=O)NC(CC2=CC=CC=C2)C(=O)NCCC(C)C	True	0.7183333333333334	0.4819198009328274
101599384	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COS(=O)(=O)O)OP(=O)(O)O)O	True	0.59	0.9485160869738988
24801913	C1C(C(C(C(O1)O)O)O)O	True	0.04956450965717736	0.9862714488225801
57123435	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	True	0.07198902899232308	0.8788486678881378
46876245	[B-][P+]([O-])(OCC1C(C(C(O1)N2C=NC3=C2N=C(N=C3N)Cl)O)O)OP(=O)(O)OP(=O)(O)O	True	0.6133333333333333	1.991620320618475e-06
93019033	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)N)O	True	0.5888888888888889	3.2938914079154014e-06
22524270	CCCCCCOC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O	True	0.5856666666666667	0.6426748031603323
10537876	CC(CO)OC1C(C(C(C(O1)CO)O)O)O	True	0.269789113483624	0.9105390453922476
18490227	CC(C)C(C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CN	True	0.6586666666666666	0.52861304124601
102344836	COC1=C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)O	True	0.5933333333333334	0.009647633600653108
21538309	COCCOC1=C(C=C(C=C1)N)[N+](=O)[O-]	True	0.2315653758798977	0.2185114714235913
11179379	COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)OC)O)O	True	0.8176471306471306	0.009679170612131327
13967632	CC1=CC(=O)C(CC1)C(C)(C)O	True	0.27690985269867685	0.3539024925694542
21680748	CC(CO)(C(CO)OC1C(C(C(C(O1)CO)O)O)O)O	True	0.16490061816344662	0.7972461753710501
54130119	COC1C(C(OC(C1OC)OC)CO)O	True	0.3212179541893174	0.7301689332594583
69031034	C1C(C(C(C(O1)CO)(O)O)O)O	True	0.30520892244617104	0.9337691836814016
18295662	CCC(C)C(C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)N)C(=O)O)N	True	0.7516666666666667	0.6503482736691043
118002230	CCCOC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O	True	0.40400050503127893	0.6538347688053543
67577048	CCCCN(C(=O)C(CC(=O)O)N)C(C)(C(C)C1=CC=CC=C1)C(=O)O	True	0.5433333333333333	0.3038871138259369
445316	C(C(C(C(=O)O)O)O)C(C(=O)O)O	True	0.19348855734149772	0.7407238098423489
102149400	C1=CC(=C(C=C1C=CC(=O)C2=C(C(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	True	0.5216666666666666	0.08346394049959992
117663204	CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)COC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)O)O)O)O	True	0.19833333333333333	0.9509336643437591
44257234	COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)CO)O)O)O)O)OC	True	0.7266666666666667	0.02047672035655371
11602584	C(C1C(C(C(C(O1)OCC2C(C(C(O2)(CO)O)O)O)O)O)O)O	True	0.06991750782472614	0.973712162223877
97960692	C1C(C(C(C(O1)(CO)O)O)OC2C(C(C(C(O2)CO)O)O)O)O	True	0.08197461564486114	0.9591687426225111
87223505	C(C(C(C(C(C=O)O)O)O)O)O.Br	True	0.20241837253527986	0.7371637077321769
101713944	C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O	True	0.19660954194278085	0.9839925011602006
